node119,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1184,Cores per socket,20
node1184,Sockets,2
node1184,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1189,Cores per socket,20
node1189,Sockets,2
node1189,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1195,Cores per socket,10
node1195,Sockets,2
node1195,Model name,IntelR XeonR Gold 5215 CPU @ 2.50GHz
node1187,Cores per socket,20
node1187,Sockets,2
node1187,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1190,Cores per socket,20
node1190,Sockets,2
node1190,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1196,Cores per socket,20
node1196,Sockets,2
node1196,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1197,Cores per socket,20
node1197,Sockets,2
node1197,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1199,Cores per socket,20
node1199,Sockets,2
node1199,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1198,Cores per socket,20
node1198,Sockets,2
node1198,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1200,Cores per socket,20
node1200,Sockets,2
node1200,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1201,Cores per socket,20
node1201,Sockets,2
node1201,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1191,Cores per socket,20
node1191,Sockets,2
node1191,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1193,Cores per socket,20
node1193,Sockets,2
node1193,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1194,Cores per socket,20
node1194,Sockets,2
node1194,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1192,Cores per socket,20
node1192,Sockets,2
node1192,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1202,Cores per socket,20
node1202,Sockets,2
node1202,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1203,Cores per socket,20
node1203,Sockets,2
node1203,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1204,Cores per socket,16
node1204,Sockets,2
node1204,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
node1207,Cores per socket,16
node1207,Sockets,2
node1207,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
node1208,Cores per socket,16
node1208,Sockets,2
node1208,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
node122,Cores per socket,8
node122,Sockets,2
